Store Name,Daraz Mall/Private,Avg Price,Listings,Avg unit selling,Seller Ratings,Country,Followers
Hontinga,Daraz Mall,565,187414,110,93,Overseas,29919
ABC MOBILE ACCESSORIES STORE ( FAISALABAD ),Private,95,438,29,93,Pakistan,11969
